op count:	launch time:	elapsed time:
4:	0.00002196200000	0.00000014000000
6:	0.00001779300000	0.00000017000000
8:	0.00001906600000	0.00000016100000
10:	0.00006344100000	0.00000018000000
12:	0.00006791800000	0.00000018100000
14:	0.00007569300000	0.00000019100000
16:	0.00007057300000	0.00000027000000
18:	0.00007883000000	0.00000028000000
20:	0.00001984700000	0.00000021100000
22:	0.00007151500000	0.00000030000000
24:	0.00007832900000	0.00000025100000
26:	0.00007274800000	0.00000031000000
28:	0.00011557900000	0.00000033100000
30:	0.00009933900000	0.00000024000000
32:	0.00009932800000	0.00000033000000
34:	0.00004428300000	0.00000087200000
36:	0.00009120300000	0.00000035000000
38:	0.00008122400000	0.00000027000000
40:	0.00006785800000	0.00000043100000
42:	0.00008551300000	0.00000022000000
44:	0.00007273800000	0.00000028100000
46:	0.00007438100000	0.00000038100000
48:	0.00007925000000	0.00000030100000
50:	0.00008721500000	0.00000032100000
52:	0.00007144600000	0.00000031100000
54:	0.00006716700000	0.00000032000000
56:	0.00005711800000	0.00000033000000
58:	0.00004880200000	0.00000034000000
60:	0.00006992300000	0.00000035100000
62:	0.00006591500000	0.00000034000000
64:	0.00007396100000	0.00000036100000
66:	0.00007673600000	0.00000039000000
68:	0.00013727100000	0.00000037100000
70:	0.00009343700000	0.00000037100000
72:	0.00008210600000	0.00000054100000
74:	0.00007635500000	0.00000039100000
76:	0.00006687600000	0.00000039100000
78:	0.00006551500000	0.00000040100000
80:	0.00007027400000	0.00000041100000
82:	0.00008801600000	0.00000049100000
84:	0.00006248800000	0.00000042100000
86:	0.00006624600000	0.00000042100000
88:	0.00006562400000	0.00000045100000
90:	0.00009639300000	0.00000054100000
92:	0.00007882900000	0.00000048100000
94:	0.00007741700000	0.00000045000000
96:	0.00008427000000	0.00000046100000
98:	0.00007583400000	0.00000046100000
100:	0.00007820800000	0.00000046000000
102:	0.00006914100000	0.00000050000000
104:	0.00007012300000	0.00000049100000
106:	0.00005772000000	0.00000066100000
108:	0.00003840300000	0.00000051100000
110:	0.00008010300000	0.00000052100000
112:	0.00006624500000	0.00000051100000
114:	0.00006650600000	0.00000054100000
116:	0.00006680600000	0.00000053100000
118:	0.00007149600000	0.00000052100000
120:	0.00011923600000	0.00000054100000
122:	0.00007255800000	0.00000055100000
124:	0.00006576400000	0.00000056100000
126:	0.00006647600000	0.00000057100000
128:	0.00007225700000	0.00000057100000
130:	0.00006768900000	0.00000058100000
132:	0.00006633600000	0.00000059100000
134:	0.00006650700000	0.00000059100000
136:	0.00009971900000	0.00000060100000
138:	0.00007497200000	0.00000063100000
140:	0.00007334800000	0.00000070100000
